neg_bool,neut_bool,pos_bool,semeval_id,sentiment_num,sentiment_orig,source,text,tweet_id
0,0,1,T15111115,1,positive,Semeval-train,Catch Rainbow Valley at the @CBC #IMAF2014 Gala. Oct 26 @TheGuildPEI! http://t.co/S5aJAEpnkY,522931511323275264
0,0,1,T15111120,1,positive,Semeval-train,"#BEARDOWN Wish us luck...we may need it. (@ Georgia Dome for Atlanta Falcons vs. Chicago Bears in Atlanta, GA) https://t.co/D0nAGYO4nO",521384413217959936
0,0,1,T15111122,1,positive,Semeval-train,We're so excited to be part of the Still We Rise Gala on Dec 3. Join us! @warriors4peace http://t.co/MsKuNg5VMH http://t.co/BdQm1uZe4J,523076584497229824
0,1,0,T15111139,0,neutral,Semeval-train,Late upload from the Bears game Sunday @ The Georgia Dome http://t.co/C0iXej2XSz,522436979921674240
0,1,0,T15111142,0,neutral,Semeval-train,My Friday consists of Netflix and hot tea allllllllll day long.,523087448264671232
0,0,1,T15111143,1,positive,Semeval-train,"I'm a big fan of Kunle Afolayan. I normally enjoy his movies

Is October 1 any good? Would love to see it",522089822991970304
0,0,1,T15111147,1,positive,Semeval-train,I watched October 1 today. Awesome movie: A blockbuster! Kunle Afolayan never disappoints. D Lord will bless u with better ideas.Cheers!,522156684903735296
0,0,1,T15111153,1,positive,Semeval-train,@Dev_Still71  just got back to Ohio from LA while I was there I saw a guy wearing your jersey on Sun. And one at LAX yesterday #LeahStrong,522849555562242048
0,1,0,T15111156,0,neutral,Semeval-train,@stanleyazuakola there was a particular scene where Danladi sat in the bush with Afolayan's character. They just kept talking and talking.,519035126920273920
0,0,1,T15111157,1,positive,Semeval-train,Need car financing? Toyota of Hollywood has you covered! http://t.co/rMFV0qYNOK,522767036166856704
0,1,0,T15111161,0,neutral,Semeval-train,The Coast Guard first encountered Reza Baluchi on Wednesday after receiving a report about a man in a bubble off the coast of Florida...,519145349596737536
0,1,0,T15111165,0,neutral,Semeval-train,Tip o' the day on Green Day Friday @binghamtonu: Give your old laptop a new life via Globetops  http://t.co/srt7KCnsCT,523096571995774976
0,0,1,T15111167,1,positive,Semeval-train,Kobe Bryant is better than the 40th best player. I would say about 25th,522787055060148224
0,0,1,T15111171,1,positive,Semeval-train,Brilliant brilliant brilliant. Wondering what to do for Halloween? Lensa nails it. Friday Night http://t.co/QZXlXCm2yA via @lensatweets,523099232173957120
0,1,0,T15111176,0,neutral,Semeval-train,"Lax sesh tomorrow fr, need it",522905032996712448
0,0,1,T15111178,1,positive,Semeval-train,"Blood moon returns early Wednesday, and this time it's bigger http://t.co/lhReFD9ml1",521058627759509504
0,1,0,T15111180,0,neutral,Semeval-train,Martinez confirms he's in the 18 for tomorrow. Ospina got banjaxed by that unpunished late foul against Galatasaray.,523095100373893120
0,1,0,T15111183,0,neutral,Semeval-train,@VictoriaJustice I may or may not be watching Gilmore Girls just because you're in this episode.,522918140016328704
0,1,0,T15111186,0,neutral,Semeval-train,"http://t.co/04psdX9ixP
Jennifer Lawrence touched down at LAX on Tuesday sporting a ""love"" pin on her purse. Simple enough, but if you're ...",523058491460943872
1,0,0,T15111187,-1,negative,Semeval-train,"@MichelleNunnGA Trick or Treat: Wants Georgia voters to forget she's a Democrat and Sam Nunn's daughter until after Halloween, oops Nov 4",523098781186007040
0,0,1,T15111190,1,positive,Semeval-train,"The #SacredHeartsAcademy Gala is on Friday evening! 

Read about the Distinguished Alumnae: http://t.co/LB3KeZbJnt",522949481697140736
1,0,0,T15111192,-1,negative,Semeval-train,"It may be because it's really late or because i've watched 40+ hours of Gilmore Girls, but I just cried way too much when Rory graduated...",522996460804374528
0,0,1,T15111195,1,positive,Semeval-train,@KaylaKnappFOX you might enjoy these pics I took at Arsenal vs Galatasaray on Wed http://t.co/KUIhYpDIuN,518806800356110336
0,1,0,T15111197,0,neutral,Semeval-train,"Georgetown may have Bill Clinton, but we have Twisty the Clown from American Horror Story #CUA #AHS",522937786098528256
0,0,1,T15111198,1,positive,Semeval-train,Hull City manager Steve Bruce says his side is hoping to benefit from a wounded Arsenal when they meet on Saturday. Despite the London te...,523075872233115648
0,0,1,T15111201,1,positive,Semeval-train,"Received the Blood Moon image today, 16x24 matte paper, and it looks great! I may have found a new online vendor... http://t.co/YteiwVHXni",522547655797661696
0,1,0,T15111203,0,neutral,Semeval-train,In one weeks time I managed to binge watch the entire 4th season of Gilmore Girls and write my Stress management plan/paper #Multitasker,522940417596477440
0,1,0,T15111211,0,neutral,Semeval-train,got me looking at this paper Mars rules Tuesday and its color is Red and nights ago it was  a Blood Moon now  checking date @iHoodscholar,521059663664906240
0,0,1,T15111221,1,positive,Semeval-train,"Flew out of Burbank for the 1st time. Mind blown. I'm ruined! Sorry, LAX, we're breaking up. AND @KristinaEmerson was on my flight. WIN!",522855195982974976
0,0,1,T15111225,1,positive,Semeval-train,In Arusha for tomorrow's annual Toyota cocktail and dinner at the HRC. Looking forward to seeing old friends and Toyota customers.,522774763492868096
0,1,0,T15111228,0,neutral,Semeval-train,"Blood Moon: Blood Moons: Decoding the Imminent Heavenly Signs: The sun shall be turned into darkness, and the moon in http://t.co/ZNEQ8s0Xnm",521040118514450432
0,1,0,T15111233,0,neutral,Semeval-train,After the Blood Moon comes the Pumpkin Sun http://t.co/FjWZQX9ZkJ,522287995203121152
0,1,0,T15111247,0,neutral,Semeval-train,We have had a few home Leeds United tickets returned which are available on a 1st come 1st served basis to supporters on the database #RUFC,522736188130869248
1,0,0,T15111258,-1,negative,Semeval-train,"If she handles blood samples in a way that she could get ebola, she should probably get tested for HepC instead. http://t.co/CPlG8H90v8",523098967605645312
0,1,0,T15111267,0,neutral,Semeval-train,Is the news about Netflix and Kunle Afolayan's October 1 true?,519964638780620800
0,0,1,T15111272,1,positive,Semeval-train,guysss is it true that selena's album is gonna be released on november 24th omggg,523053123213217792
0,0,1,T15111274,1,positive,Semeval-train,Jermaine Pennant scored a hat-trick in the 1st match of Arsenal's 49 match unbeaten run. Perhaps even more unbelievable than the run itself.,523080229825568768
0,1,0,T15111280,0,neutral,Semeval-train,"""@ineffablewaters: Is the news about Netflix and Kunle Afolayan's October 1 true?"" Wooaaah did dey say Netflix bought it?",519964931471720448
0,1,0,T15111282,0,neutral,Semeval-train,I just had a dance party by myself to green day while my roommate just sat there minding her own business. We are on that level now.,522879848566382592
