MESSAGE;isAbusive;Positiv;Negativ;Pstv;Affil;Ngtv;Hostile;Strong;Power;Weak;Submit;Active;Passive;Pleasur;Pain;Feel;Arousal;EMOT;Virtue;Vice;Ovrst;Undrst;Academ;Doctrin;Econ@;Exch;ECON;Exprsv;Legal;Milit;Polit@;POLIT;Relig;Role;COLL;Work;Ritual;SocRel;Race;Kin@;MALE;Female;Nonadlt;HU;ANI;PLACE;Social;Region;Route;Aquatic;Land;Sky;Object;Tool;Food;Vehicle;BldgPt;ComnObj;NatObj;BodyPt;ComForm;COM;Say;Need;Goal;Try;Means;Persist;Complet;Fail;NatrPro;Begin;Vary;Increas;Decreas;Finish;Stay;Rise;Exert;Fetch;Travel;Fall;Think;Know;Causal;Ought;Perceiv;Compare;Eval@;EVAL;Solve;Abs@;ABS;Quality;Quan;NUMB;ORD;CARD;FREQ;DIST;Time@;TIME;Space;POS;DIM;Rel;COLOR;Self;Our;You;Name;Yes;No;Negate;Intrj;IAV;DAV;SV;IPadj;IndAdj;PowGain;PowLoss;PowEnds;PowAren;PowCon;PowCoop;PowAuPt;PowPt;PowDoct;PowAuth;PowOth;PowTot;RcEthic;RcRelig;RcGain;RcLoss;RcEnds;RcTot;RspGain;RspLoss;RspOth;RspTot;AffGain;AffLoss;AffPt;AffOth;AffTot;WltPt;WltTran;WltOth;WltTot;WlbGain;WlbLoss;WlbPhys;WlbPsyc;WlbPt;WlbTot;EnlGain;EnlLoss;EnlEnds;EnlPt;EnlOth;EnlTot;SklAsth;SklPt;SklOth;SklTot;TrnGain;TrnLoss;TranLw;MeansLw;EndsLw;ArenaLw;PtLw;Nation;Anomie;NegAff;PosAff;SureLw;If;NotLw;TimeSpc;FormLw
how to tell if a guy is gay if they seem super straight ;0;Positiv;;Pstv;;;;;;;;Active;;Pleasur;;;;EMOT;Virtue;;Ovrst;Undrst;;;;;;;;;;;;Role;;;;;;;MALE;;;HU;;;;;;;;;;;;;;;;;;;Say;;;;;;;;;;;;;;;;;;;;;;;;Perceiv;;;EVAL;;;;Quality;;;;;;;;;Space;;;;;;;;;;;;;IAV;DAV;SV;;;;;;;;;;;;;;;;;;;;;;;;;;;AffPt;;AffTot;;;;;;;;WlbPsyc;;WlbTot;EnlGain;;;;;EnlTot;;;;;;;;;;;;;;;;;If;;;
Idk I'm not gay;0;Positiv;;Pstv;;;;;;;;;;Pleasur;;;;EMOT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EVAL;;;;;;;;;;;;;;;;;;Self;;;;;;Negate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WlbPsyc;;WlbTot;;;;;;;;;;;;;;;;;;;;;;;;NotLw;;
This person is 100% fake so beware Isabella! ;1;;Negativ;;;Ngtv;Hostile;Strong;;;;;;;;;;;;;Ovrst;Undrst;;;;;;;;;;;;Role;;;;;;;;;;HU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Causal;;Perceiv;;Eval@;;;;;Quality;Quan;;;;;;;;;;;;;;;;;;;;;IAV;;;;IndAdj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PtLw;;;;;;;;;
Oof lmao how is she fake? Who's this lmao shit fuck speak like cunt? And it's Isabel XD;1;Positiv;Negativ;Pstv;Affil;;;Strong;Power;;;Active;Passive;;;;Arousal;EMOT;;;;Undrst;;;;;;;;;;;;;;;;SocRel;;;;Female;;;;;;;;;;;;;;;;;;;ComForm;;;;;;Means;;;;NatrPro;;;;;;;;;;;;;;;;;;Eval@;;;;;Quality;;;;;;;;;;;;Rel;;;;;;;;;Intrj;IAV;DAV;SV;;IndAdj;PowGain;;;;;;;;;;;PowTot;;;;;;;;;;;AffGain;;;;AffTot;;;;;;;;;;;EnlGain;;;;EnlOth;EnlTot;;;;;;;;;;;;;;;PosAff;;;;;FormLw
If your loved one left n cut all ties w you should u wait bc I still have feelings ? ;0;;Negativ;;;Ngtv;Hostile;Strong;Power;Weak;Submit;Active;Passive;;;;;;Virtue;;Ovrst;Undrst;;;;;;;;;Polit@;POLIT;;;COLL;;;SocRel;;;;;;HU;;;;;;;;;;;;;;;;;;;;Need;;;;;;;;;;;Decreas;;Stay;;Exert;;Travel;;;Know;;Ought;;;;;Solve;;;Quality;Quan;NUMB;;CARD;;;Time@;;Space;;;Rel;;Self;;You;;;;;;IAV;DAV;SV;;;;;;;PowCon;;;;PowDoct;;;PowTot;RcEthic;;;;RcEnds;RcTot;;;;;;;;;;;;;;;;;;;;;;;;;;;;SklOth;SklTOT;TrnGain;TrnLoss;TranLw;;;;;;;;;SureLw;If;;TimeSpc;
no he a bitch;1;;;;;;Hostile;;;;;;;;;;;;;;;Undrst;;;;;;;;;;;;;;;;;;;MALE;;;;;;;;;;;;;;;;;;;;ComForm;COM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quan;;;;;;;;;;;;;;;;;;No;Negate;Intrj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NotLw;;FormLw
Oof damn ;0;;Negativ;;;Ngtv;Hostile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Intrj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NegAff;;;;;;
Help with what?;0;Positiv;Negativ;Pstv;Affil;Ngtv;;;;Weak;Submit;Active;Passive;;;;;;Virtue;;Ovrst;;;;;;;;;;;;;;;;;SocRel;;;;;;;;;;;;;;;;;;;;;;;;;;Need;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Intrj;IAV;;;;;PowGain;;;;;;;;;;;PowTot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MeansLw;;;;;;;;;;;;
who farts the most in your fam? ;0;;;;;;;Strong;;;;;;;;;;;;;Ovrst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Compare;;;;;;;Quan;;;;;;;;Space;;;;;;;You;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PtLw;;;;;;;;;
