MESSAGE;isAbusiveOriginally;isAbusiveInquirer;isAbusiveEmpath;isAbusiveOR
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.;1;1;0;1
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.;1;1;0;1
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.;1;1;0;1
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.;1;1;0;1
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.;1;1;1;1
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.;1;1;0;1
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.;1;1;0;1
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.;1;1;0;1
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.;1;1;0;1
According to a recent OFSTED report, a school in Birmingham is still segregating girls and boys, despite a Hight Court ruling in 2017 that this is unlawful.;1;1;0;1
In Birmingham there is a school where girls and boys are separeted even if it isn't legal.;1;1;0;1
A school in Birningham is still separating girls from boys. This information come from a Ofsted report. A high court said in 2017 that this type of action is illegal.;1;1;0;1
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!;1;0;0;0
Muslims grooming gangs are protected by the government and the police. This is a betrayal!;1;1;0;1
The police and the government are defending muslim gangs and they must be considered as traitors of our society.;1;0;0;0
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!;1;0;1;1
Muslims grooming gangs are protected by the government and the police. This is a betrayal!;1;1;0;1
The police and the government are defending muslim gangs and they must be considered as traitors of our society.;1;0;0;0
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!;1;0;0;0
Muslims grooming gangs are protected by the government and the police. This is a betrayal!;1;1;0;1
The police and the government are defending muslim gangs and they must be considered as traitors of our society.;1;0;0;0
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!;1;0;1;1
Muslims grooming gangs are protected by the government and the police. This is a betrayal!;1;1;0;1
The police and the government are defending muslim gangs and they must be considered as traitors of our society.;1;0;0;0
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!;1;0;0;0
Muslims grooming gangs are protected by the government and the police. This is a betrayal!;1;1;0;1
The police and the government are defending muslim gangs and they must be considered as traitors of our society.;1;0;1;1
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!;1;0;0;0
Muslims grooming gangs are protected by the government and the police. This is a betrayal!;1;1;0;1
The police and the government are defending muslim gangs and they must be considered as traitors of our society.;1;0;0;0
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!;1;0;0;0
Muslims grooming gangs are protected by the government and the police. This is a betrayal!;1;1;0;1
The police and the government are defending muslim gangs and they must be considered as traitors of our society.;1;0;0;0
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.;1;1;0;1
Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.;1;1;1;1
The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.;1;1;0;1
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.;1;1;0;1
Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.;1;1;0;1
The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.;1;1;0;1
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.;1;1;1;1
Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.;1;1;0;1
The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.;1;1;1;1
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.;1;1;0;1
Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.;1;1;0;1
The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.;1;1;0;1
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.;1;1;0;1
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.;1;0;0;0
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.;1;1;0;1
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.;1;1;0;1
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.;1;0;0;0
Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.;1;1;1;1
Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.;1;1;0;1
All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.;1;0;0;0
